CMDLINE /home/heyingfan/anaconda3/envs/d2net/bin/python3.7 feature_extraction.py
MEM 1.535156 1702639856.1298
MEM 28.640625 1702639856.2300
MEM 45.214844 1702639856.3303
MEM 99.863281 1702639856.4305
MEM 127.773438 1702639856.5307
MEM 146.343750 1702639856.6309
MEM 189.785156 1702639856.7311
MEM 200.753906 1702639856.8313
MEM 214.820312 1702639856.9316
MEM 237.765625 1702639857.0318
MEM 381.605469 1702639857.1323
MEM 407.609375 1702639857.2327
MEM 486.203125 1702639857.3332
MEM 795.402344 1702639857.4337
MEM 830.109375 1702639857.5342
MEM 830.109375 1702639857.6346
MEM 999.343750 1702639857.7356
MEM 999.812500 1702639857.8370
MEM 998.789062 1702639857.9375
MEM 872.113281 1702639858.0379
MEM 914.101562 1702639858.1384
MEM 996.562500 1702639858.2388
MEM 1080.589844 1702639858.3392
MEM 1080.589844 1702639858.4397
MEM 980.398438 1702639858.5401
MEM 1237.667969 1702639858.6411
MEM 1734.476562 1702639858.7417
MEM 1147.789062 1702639858.8424
MEM 1492.082031 1702639858.9428
MEM 1177.312500 1702639859.0432
MEM 1364.144531 1702639859.1444
MEM 1861.285156 1702639859.2457
MEM 1767.910156 1702639859.3461
MEM 1375.269531 1702639859.4465
MEM 1178.468750 1702639859.5474
MEM 1395.085938 1702639859.6480
MEM 926.734375 1702639859.7484
MEM 831.398438 1702639859.8490
MEM 926.839844 1702639859.9510
MEM 973.925781 1702639860.0513
MEM 1115.953125 1702639860.1518
MEM 956.843750 1702639860.2522
MEM 1115.460938 1702639860.3526
MEM 997.234375 1702639860.4531
MEM 1747.765625 1702639860.5537
MEM 1873.843750 1702639860.6542
MEM 1824.140625 1702639860.7546
MEM 1210.824219 1702639860.8556
MEM 1536.214844 1702639860.9560
MEM 1463.347656 1702639861.0564
MEM 1479.894531 1702639861.1568
MEM 1210.746094 1702639861.2573
MEM 1429.367188 1702639861.3579
MEM 1589.726562 1702639861.4585
MEM 1260.003906 1702639861.5593
MEM 830.445312 1702639861.6597
MEM 1299.500000 1702639861.7605
MEM 2216.535156 1702639861.8609
MEM 2085.406250 1702639861.9613
MEM 1462.656250 1702639862.0616
MEM 1194.707031 1702639862.1623
MEM 1523.734375 1702639862.2629
MEM 1223.796875 1702639862.3633
MEM 1065.113281 1702639862.4637
MEM 1182.972656 1702639862.5642
MEM 1173.707031 1702639862.6646
MEM 989.554688 1702639862.7650
MEM 1286.699219 1702639862.8655
MEM 1297.011719 1702639862.9659
MEM 1360.062500 1702639863.0664
MEM 1529.703125 1702639863.1669
MEM 1529.703125 1702639863.2673
MEM 1302.976562 1702639863.3677
MEM 1530.113281 1702639863.4681
MEM 1530.113281 1702639863.5686
MEM 1411.417969 1702639863.6694
MEM 1269.046875 1702639863.7700
MEM 1386.031250 1702639863.8709
MEM 2756.460938 1702639863.9717
MEM 2482.000000 1702639864.0721
MEM 2559.687500 1702639864.1729
MEM 3094.335938 1702639864.2733
MEM 2433.289062 1702639864.3741
MEM 3743.234375 1702639864.4747
MEM 2102.703125 1702639864.5756
MEM 1786.902344 1702639864.6760
MEM 1730.777344 1702639864.7765
MEM 2179.800781 1702639864.8773
MEM 2895.628906 1702639864.9777
MEM 1832.457031 1702639865.0785
MEM 3316.683594 1702639865.1798
MEM 1575.683594 1702639865.2802
MEM 3423.863281 1702639865.3814
MEM 2301.152344 1702639865.4818
MEM 2014.851562 1702639865.5822
MEM 2386.222656 1702639865.6826
MEM 3280.949219 1702639865.7833
MEM 3101.144531 1702639865.8837
MEM 3143.980469 1702639865.9845
MEM 3714.191406 1702639866.0849
MEM 2645.042969 1702639866.1858
MEM 2846.703125 1702639866.2866
MEM 2039.210938 1702639866.3872
MEM 1064.000000 1702639866.4876
MEM 830.988281 1702639866.5879
MEM 1543.707031 1702639866.6884
MEM 1094.769531 1702639866.7894
MEM 1032.863281 1702639866.8899
MEM 1057.027344 1702639866.9903
MEM 1027.039062 1702639867.0908
MEM 1028.277344 1702639867.1912
MEM 1092.113281 1702639867.2917
MEM 1149.613281 1702639867.3921
MEM 1223.347656 1702639867.4927
MEM 1159.921875 1702639867.5933
MEM 1223.914062 1702639867.6938
MEM 1223.914062 1702639867.7942
MEM 961.691406 1702639867.8946
MEM 1163.347656 1702639867.9953
MEM 1647.082031 1702639868.0957
MEM 2258.878906 1702639868.1967
MEM 2024.863281 1702639868.2975
MEM 1382.988281 1702639868.3984
MEM 1372.582031 1702639868.4989
MEM 2006.781250 1702639868.5993
MEM 1425.234375 1702639868.7001
MEM 1625.148438 1702639868.8004
MEM 2400.875000 1702639868.9011
MEM 1552.386719 1702639869.0019
MEM 2002.914062 1702639869.1026
MEM 1736.015625 1702639869.2030
MEM 2662.476562 1702639869.3037
MEM 1877.667969 1702639869.4042
MEM 1275.933594 1702639869.5050
MEM 803.925781 1702639869.6054
MEM 803.941406 1702639869.7057
MEM 804.242188 1702639869.8060
