CMDLINE /usr/bin/python3 /home/ddd/Downloads/Image-Local-Feature-Extraction-and-Matching/SIFT-implement/run.py
MEM 0.375000 1702786677.7469
MEM 40.445312 1702786677.8470
MEM 91.402344 1702786677.9472
MEM 105.839844 1702786678.0475
MEM 129.101562 1702786678.1477
MEM 150.265625 1702786678.2479
MEM 172.015625 1702786678.3481
MEM 344.265625 1702786678.4483
MEM 403.253906 1702786678.5485
MEM 431.753906 1702786678.6490
MEM 482.003906 1702786678.7492
MEM 528.503906 1702786678.8495
MEM 529.253906 1702786678.9498
MEM 557.566406 1702786679.0500
MEM 545.187500 1702786679.1503
MEM 569.375000 1702786679.2505
MEM 569.750000 1702786679.3509
MEM 576.500000 1702786679.4511
MEM 597.125000 1702786679.5514
MEM 597.500000 1702786679.6516
MEM 597.687500 1702786679.7518
MEM 613.812500 1702786679.8521
MEM 614.375000 1702786679.9525
MEM 622.250000 1702786680.0529
MEM 633.808594 1702786680.1533
MEM 635.503906 1702786680.2536
MEM 628.722656 1702786680.3540
MEM 630.300781 1702786680.4542
MEM 620.218750 1702786680.5545
MEM 665.625000 1702786680.6548
MEM 654.777344 1702786680.7551
MEM 650.886719 1702786680.8553
MEM 672.261719 1702786680.9556
MEM 684.621094 1702786681.0558
MEM 676.707031 1702786681.1561
MEM 684.957031 1702786681.2563
MEM 672.214844 1702786681.3566
MEM 701.464844 1702786681.4569
MEM 714.027344 1702786681.5572
MEM 714.402344 1702786681.6575
MEM 720.777344 1702786681.7578
MEM 727.339844 1702786681.8581
MEM 730.902344 1702786681.9584
MEM 756.214844 1702786682.0587
MEM 769.152344 1702786682.1589
MEM 769.714844 1702786682.2592
MEM 790.902344 1702786682.3595
MEM 776.406250 1702786682.4597
MEM 777.531250 1702786682.5601
MEM 790.113281 1702786682.6604
MEM 795.734375 1702786682.7606
MEM 804.734375 1702786682.8609
MEM 815.609375 1702786682.9612
MEM 827.609375 1702786683.0614
MEM 827.984375 1702786683.1617
MEM 844.257812 1702786683.2621
MEM 886.257812 1702786683.3623
MEM 897.308594 1702786683.4626
MEM 897.308594 1702786683.5628
MEM 898.308594 1702786683.6631
MEM 900.746094 1702786683.7633
MEM 980.792969 1702786683.8635
MEM 988.804688 1702786683.9638
MEM 989.367188 1702786684.0640
MEM 989.367188 1702786684.1643
MEM 989.367188 1702786684.2646
MEM 989.367188 1702786684.3648
MEM 989.367188 1702786684.4651
MEM 989.367188 1702786684.5654
MEM 989.367188 1702786684.6656
MEM 989.367188 1702786684.7659
MEM 989.367188 1702786684.8661
MEM 989.367188 1702786684.9663
MEM 996.671875 1702786685.0665
MEM 997.234375 1702786685.1668
MEM 1008.203125 1702786685.2670
MEM 1018.390625 1702786685.3673
MEM 1018.390625 1702786685.4675
MEM 1026.640625 1702786685.5678
MEM 1043.441406 1702786685.6680
MEM 1043.441406 1702786685.7682
MEM 1048.015625 1702786685.8685
MEM 1067.265625 1702786685.9687
MEM 1067.265625 1702786686.0690
MEM 1075.015625 1702786686.1692
MEM 1081.265625 1702786686.2695
MEM 1086.015625 1702786686.3697
MEM 1100.390625 1702786686.4700
MEM 1100.390625 1702786686.5702
MEM 1106.765625 1702786686.6705
MEM 1118.015625 1702786686.7707
MEM 1123.640625 1702786686.8709
MEM 1123.640625 1702786686.9712
MEM 1132.953125 1702786687.0714
MEM 1136.890625 1702786687.1717
MEM 1125.003906 1702786687.2719
